"","oneTm","Date","TacklesComb","TacklesTFL","TacklesQBHits","DefInterceptionsQBHits","DefInterceptionsInt","DefInterceptionsYds","DefInterceptionsTD","KickReturnsRt","KickReturnsYds","KickReturnsYRt","KickReturnsTD","PuntReturnsYds","PuntReturnsTD","RushingYds","PassingYds","ReceivingYds","ReceivingTD","RushingTD"
"71","DAL","2018-09-30",37,3,3.75,0,0,0,0,0.75,20.25,6.75,0,0,0,209,540.5,459.25,3,1.5
"72","DAL","2018-09-23",22.25,2.5,2.25,0,0,0,0,0,0,0,0,0,0,82,249.75,213.5,0.75,0.5
"73","DAL","2018-09-16",11,1,0.75,0,0,0,0,0,0,0,0,0,0,27,40.25,32,0,0.25
"74","CLE","2018-09-30",39.25,3.75,2.25,0.25,1.25,6.5,0,1.25,28.5,14.8325,0,8.75,0,140.75,729.75,641,3.75,2
"75","CLE","2018-09-20",27.75,1.5,1.5,0,0.75,6.5,0,1.25,28.5,14.8325,0,3.75,0,64.5,367.25,345.75,2.25,1.5
"76","CLE","2018-09-16",15.25,0.5,0.75,0,0.75,6.5,0,0.5,8,8,0,3.75,0,37.75,83.75,82.25,0.25,0.5
"77","CIN","2018-09-30",40,2.5,3,0.25,0.75,6,0,0.5,6.25,6.25,0,0,0,176.5,549.25,344.5,2.25,1.25
"78","CIN","2018-09-23",25.25,1.75,2.75,0.25,0.75,6,0,0.5,6.25,6.25,0,0,0,44.25,277.5,152.5,1.25,0.25
"79","CIN","2018-09-13",12.25,1.25,1.25,0,0.25,0.5,0,0.25,3.5,3.5,0,0,0,11.75,79.75,32.75,0.25,0
"80","CHI","2018-09-30",30,3,1.75,1.75,1,19,0.5,0,0,0,0,31.75,0,124.75,487,404,3.5,0.5
"81","CHI","2018-09-23",21,2,1,1,0.5,19,0.5,0,0,0,0,25.75,0,56.5,272.75,247.5,2.25,0
"82","CHI","2018-09-17",10.75,0.75,0.5,0,0.25,6.75,0.25,0,0,0,0,11.25,0,32.25,141.75,143,1,0
"83","CAR","2018-09-23",30,3.66666666666667,3.66666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,126,284.333333333333,158.333333333333,0,1.66666666666667
"84","CAR","2018-09-16",15,1.33333333333333,3,0,0,0,0,0,0,0,0,0,0,29.3333333333333,56.6666666666667,29.3333333333333,0,0.333333333333333
"85","BUF","2018-09-30",33.75,2.25,0.75,0.25,0.25,0,0,0,0,0,0,0,0,124,795.5,553.25,3.5,1
"86","BUF","2018-09-23",21.5,1.5,0.75,0,0,0,0,0,0,0,0,0,0,41,323,216.75,1.75,0.5
"87","BUF","2018-09-16",11,1,0.75,0,0,0,0,0,0,0,0,0,0,16.75,153,105,0.75,0.25
"88","BAL","2018-09-30",24.5,3,3.5,0.25,0.75,20,0,0,0,0,0,0,0,161.5,529.5,325.25,1.5,2
"89","BAL","2018-09-23",16.5,2,1.25,0.25,0.5,11.75,0,0,0,0,0,0,0,84.5,206.75,113.75,0.75,0.25
"90","BAL","2018-09-13",5.5,1.25,0.75,0,0.5,11.75,0,0,0,0,0,0,0,12,18.5,9.25,0,0
"91","ATL","2018-09-30",34.75,1.25,3,0,0.25,7,0,0,0,0,0,0,0,175.75,611.25,497.25,2.75,2.5
"92","ATL","2018-09-23",20.75,1,2.5,0,0.25,7,0,0,0,0,0,0,0,74.75,240.5,175.75,0.75,1
"93","ATL","2018-09-16",9.25,0.5,1,0,0,0,0,0,0,0,0,0,0,19.75,33,25,0,0.5
"94","ARI","2018-09-30",45.75,3.75,3.5,0.5,0.5,0,0,0,0,0,0,1.75,0,270.5,691,597.25,3.75,2.25
"95","ARI","2018-09-23",31,2.5,2.5,0.5,0.25,0,0,0,0,0,0,0,0,88.5,283.5,232,1,1
"96","ARI","2018-09-16",15.5,1,1.5,0.5,0,0,0,0,0,0,0,0,0,27.5,63.75,45.75,0.25,0.25
"97","0",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
